maker,name,price
ミニズフォーラム MINISFORUM,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
ミニズフォーラム MINISFORUM,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
NEC エヌイーシー,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
DELL デル,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
NEC エヌイーシー,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
レノボ･ジャパン Lenovo,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
富士通 FUJITSU,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
ASUS エイスース,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
DELL デル,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
富士通 FUJITSU,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
HP,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
DELL デル,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
マウスコンピューター mouse computer,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
レノボ･ジャパン Lenovo,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
マウスコンピューター mouse computer,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
HP,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
ミニズフォーラム MINISFORUM,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
ASUS エイスース,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
HP,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
DELL デル,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥219,800"
